srcStateName,srcSubDistrictName,srcYear,Government Cold Storages available,Government Cold Storages Capacity,Private Cold Storages available,Private Cold Storages Capacity,Total Number of Cold Storages,Total Capacity of Cold Storages ,srcDistrictName,YearCode,Year
Karnataka,Tumkur,2019-20,0.0,0.0,2.0,2360.0,2,2360,TUMAKURU,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Turuvekere,2019-20,,,,,0,0,TUMAKURU,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Udupi,2019-20,0.0,0.0,0.0,0.0,0,0,UDUPI,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Virajpet,2019-20,,,,,0,0,KODAGU,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Bagepalli,2019-20,,,,,0,0,CHIKKABALLAPURA,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Chamarajanagara,2019-20,,,,,0,0,CHAMARAJANAGARA,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Channapatna,2019-20,0.0,0.0,0.0,0.0,0,0,RAMANAGARA,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Chikballapur,2019-20,0.0,0.0,1.0,14500.0,1,14500,CHIKKABALLAPURA,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Chinthamani,2019-20,,,,,0,0,CHIKKABALLAPURA,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Gauribidanur,2019-20,,,,,0,0,CHIKKABALLAPURA,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Gudibande,2019-20,,,,,0,0,CHIKKABALLAPURA,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Gundlupet,2019-20,,,,,0,0,CHAMARAJANAGARA,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Gurumithakala,2019-20,,,,,0,0,YADGIR,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Hunisigi,2019-20,,,,,0,0,YADGIR,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Kanakpura,2019-20,0.0,0.0,2.0,25186.0,2,25186,BELAGAVI,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Kollegala,2019-20,,,,,0,0,CHAMARAJANAGARA,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Kollegala(Hanur),2019-20,,,,,0,0,CHAMARAJANAGARA,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Magadi,2019-20,,,,,0,0,RAMANAGARA,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Ramanagar,2019-20,0.0,0.0,1.0,5000.0,1,5000,RAMANAGARA,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Shahapur,2019-20,0.0,0.0,1.0,2500.0,1,2500,YADGIR,2019,"Financial Year (Apr - Mar), 2019"
